RowNum,StartTime,EndTime,ViewsGained,FollowersGained,MaxViewers,AverageViewers,FollowersPerHour,ViewsPerHour,LengthMinutes,GamesPlayed
118,2017-03-05 21:15:00.000,2017-03-06 00:15:00.000,5099,35,2883,2476,2.69,392.23,195,The Witcher 3: Wild Hunt
119,2017-03-02 23:00:00.000,2017-03-03 02:15:00.000,7871,26,6114,5011,1.86,562.21,210,The Binding of Isaac: Afterbirth|Golf It!|Pictionary: Ultimate Edition
120,2017-03-01 22:15:00.000,2017-03-02 01:15:00.000,8931,54,6921,5894,4.15,687.00,195,The Binding of Isaac: Afterbirth|The Jackbox Party Pack 3|London 2012 - The Official Video Game of the Olympic Games
121,2017-02-27 23:15:00.000,2017-02-28 02:15:00.000,9379,68,6992,6247,5.23,721.46,195,The Binding of Isaac: Afterbirth|Ultimate Chicken Horse
122,2017-02-26 21:30:00.000,2017-02-27 00:15:00.000,5531,60,3242,2933,5.00,460.92,180,The Witcher 3: Wild Hunt
123,2017-02-23 23:00:00.000,2017-02-24 02:00:00.000,8615,37,6097,5085,2.85,662.69,195,The Binding of Isaac: Afterbirth|Disc Jam|Pictionary
124,2017-02-22 22:15:00.000,2017-02-23 01:15:00.000,8639,47,7583,6508,3.62,664.54,195,The Binding of Isaac: Afterbirth|Golf It!|For Honor
125,2017-02-20 23:15:00.000,2017-02-21 02:15:00.000,6962,79,7864,6985,6.08,535.54,195,The Binding of Isaac: Afterbirth|Duck Game|The Jackbox Party Pack 3
126,2017-02-19 21:15:00.000,2017-02-20 00:15:00.000,5213,24,3293,2764,1.85,401.00,195,The Witcher 3: Wild Hunt
127,2017-02-16 23:15:00.000,2017-02-17 02:15:00.000,7441,32,6873,5859,2.46,572.38,195,The Binding of Isaac: Afterbirth|The Jackbox Party Pack 3|Pictionary
128,2017-02-15 22:15:00.000,2017-02-16 01:15:00.000,7061,36,6401,5306,2.77,543.15,195,Ultimate Chicken Horse|Golf|For Honor
129,2017-02-13 23:15:00.000,2017-02-14 02:15:00.000,8006,51,8271,6760,3.92,615.85,195,The Binding of Isaac: Afterbirth|Scribblenauts Unlimited|Invisigun Heroes
130,2017-02-12 21:30:00.000,2017-02-13 00:15:00.000,3709,25,3382,3087,2.08,309.08,180,The Witcher 3: Wild Hunt
131,2017-02-09 23:15:00.000,2017-02-10 02:15:00.000,7083,41,7351,6210,3.15,544.85,195,Golf With Your Friends|The Binding of Isaac: Afterbirth|For Honor|The Jackbox Party Pack 3
132,2017-02-08 22:15:00.000,2017-02-09 01:30:00.000,13499,102,6280,5521,7.29,964.21,210,The Binding of Isaac: Afterbirth|Sonic &amp; All-Stars Racing Transformed|Golf With Your Friends
133,2017-02-06 23:15:00.000,2017-02-07 02:15:00.000,10047,82,7876,6515,6.31,772.85,195,The Binding of Isaac: Afterbirth|Disc Jam|Gang Beasts
134,2017-02-05 21:15:00.000,2017-02-06 00:15:00.000,5996,58,3297,2975,4.46,461.23,195,The Witcher 3: Wild Hunt
135,2017-02-02 23:15:00.000,2017-02-03 02:15:00.000,8344,75,6954,6095,5.77,641.85,195,The Binding of Isaac: Afterbirth|Sonic &amp; All-Stars Racing Transformed
136,2017-02-01 22:15:00.000,2017-02-02 01:00:00.000,9477,73,6565,6062,6.08,789.75,180,The Binding of Isaac: Afterbirth|Ultimate Chicken Horse|Golf With Your Friends
137,2017-01-31 00:15:00.000,2017-01-31 03:00:00.000,7689,78,8393,7445,6.50,640.75,180,The Binding of Isaac: Afterbirth|Scribblenauts Unlimited|The Jackbox Party Pack 3
138,2017-01-29 21:30:00.000,2017-01-30 00:45:00.000,10618,66,3742,3219,4.71,758.43,210,The Witcher 3: Wild Hunt
139,2017-01-26 23:15:00.000,2017-01-27 02:00:00.000,5792,36,6611,5804,3.00,482.67,180,Ultimate Chicken Horse|Enter the Gungeon|Disc Jam|Pictionary
140,2017-01-25 22:15:00.000,2017-01-26 01:00:00.000,6710,54,7702,6772,4.50,559.17,180,The Binding of Isaac: Afterbirth|Ultimate Chicken Horse
141,2017-01-24 01:30:00.000,2017-01-24 02:15:00.000,8121,20,9012,6345,3.33,1353.50,90,Space Beast Terror Fright
142,2017-01-23 23:15:00.000,2017-01-24 01:00:00.000,12865,92,9012,7750,8.36,1169.55,165,The Binding of Isaac: Afterbirth|Scribblenauts Unlimited|Who Wants To Be A Millionaire?
143,2017-01-22 21:15:00.000,2017-01-23 00:15:00.000,7330,59,3598,3206,4.54,563.85,195,The Witcher 3: Wild Hunt
144,2017-01-19 23:15:00.000,2017-01-20 02:00:00.000,10207,119,9180,7618,9.92,850.58,180,The Binding of Isaac: Afterbirth|Who Wants To Be A Millionaire: UK Edition|Golf With Your Friends
145,2017-01-18 22:15:00.000,2017-01-19 01:15:00.000,11058,129,7419,6695,9.92,850.62,195,The Binding of Isaac: Afterbirth|Ultimate Chicken Horse
146,2017-01-16 23:15:00.000,2017-01-17 02:15:00.000,14836,158,9526,8204,12.15,1141.23,195,The Binding of Isaac: Afterbirth|Disc Jam|The Jackbox Party Pack 3
147,2017-01-15 22:30:00.000,2017-01-16 00:30:00.000,12321,71,3965,3650,6.45,1120.09,165,The Witcher 3: Wild Hunt
148,2017-01-15 21:15:00.000,2017-01-15 22:00:00.000,10369,30,3761,3161,4.29,1481.29,105,The Witcher 3: Wild Hunt
